,surface,series,order_surfaces,isBasement,isFault,isActive,hasData,color,vertices,edges,sfai,id
0,Fault_1,Fault_1,1,False,True,True,True,#527682,"[[ 493.84059906   60.         1456.        ]
 [ 500.           20.         1433.01281738]
 [ 493.84059906   20.         1456.        ]
 ...
 [ 871.11297607 1980.           48.        ]
 [ 879.68742371 1980.           16.        ]
 [ 862.53860474 1980.           80.        ]]","[[   2    1    0]
 [   0    1    3]
 [   2    5    4]
 ...
 [2791 2794 2796]
 [2796 2643 2638]
 [2796 2638 2793]]",0.9949837706237564,1
1,Fault_2,Fault_2,1,False,True,True,True,#527682,"[[1128.88694763   20.           48.        ]
 [1120.31257629   20.           16.        ]
 [1128.88694763   60.           48.        ]
 ...
 [1506.15951538 1780.         1456.        ]
 [1506.15951538 1820.         1456.        ]
 [1506.15951538 1860.         1456.        ]]","[[   2    1    0]
 [   3    1    2]
 [   5    0    4]
 ...
 [2798 2710 2704]
 [2800 2716 2799]
 [2799 2716 2710]]",-0.9372542522825902,2
7,Sandstone,Strat_Series,1,False,False,True,True,#4878d0,"[[ 300.         1620.         1471.08349609]
 [ 300.         1660.         1470.03063965]
 [ 340.         1620.         1470.45593262]
 ...
 [1980.         1500.         1475.63989258]
 [1980.         1540.         1474.45507812]
 [1980.         1580.         1473.38977051]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [2481 2474 2480]
 [2481 2475 2474]
 [2482 2475 2481]]",0.6617358537752436,3
6,Siltstone,Strat_Series,2,False,False,True,True,#5DA629,"[[  20.          460.         1338.05517578]
 [  20.          500.         1338.06665039]
 [  60.          460.         1338.06896973]
 ...
 [1980.         1900.         1332.19689941]
 [1980.         1940.         1331.29968262]
 [1980.         1980.         1330.4161377 ]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [3380 3332 3379]
 [3380 3333 3332]
 [3381 3333 3380]]",0.5736076819268874,4
5,Shale,Strat_Series,3,False,False,True,True,#ff3f20,"[[  20.           20.         1227.92114258]
 [  20.           60.         1228.75219727]
 [  60.           20.         1227.68884277]
 ...
 [1980.         1900.         1229.58557129]
 [1980.         1940.         1228.74707031]
 [1980.         1980.         1227.91577148]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [3426 3371 3425]
 [3426 3372 3371]
 [3427 3372 3426]]",0.5053552920575504,5
4,Sandstone_2,Strat_Series,4,False,False,True,True,#443988,"[[  20.           20.          911.30316162]
 [  20.           60.          911.92431641]
 [  60.           20.          911.16888428]
 ...
 [1980.         1940.          911.91918945]
 [1980.         1934.78988647  912.        ]
 [1980.         1980.          911.29779053]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [3464 3516 3518]
 [3517 3465 3463]
 [3519 3465 3517]]",0.2941897764541801,6
3,Schist,Strat_Series,5,False,False,True,True,#728f02,"[[  20.           20.          708.56018066]
 [  20.           60.          709.04241943]
 [  60.           20.          708.54882812]
 ...
 [1980.         1900.          709.5177002 ]
 [1980.         1940.          709.0368042 ]
 [1980.         1980.          708.55438232]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [3446 3396 3445]
 [3446 3397 3396]
 [3447 3397 3446]]",0.15907029197229805,7
2,Gneiss,Strat_Series,6,False,False,True,True,#ffbe00,"[[  20.           20.          506.07574463]
 [  20.           60.          506.4178772 ]
 [  60.           20.          506.30453491]
 ...
 [1980.         1900.          506.73989868]
 [1980.         1940.          506.41125488]
 [1980.         1980.          506.06890869]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [3426 3374 3425]
 [3426 3375 3374]
 [3427 3375 3426]]",0.024384603712777397,8
8,basement,Basement,1,True,False,True,False,#ee854a,,,,9
